CellID,X_centroid,Y_centroid,phenotype_key,color
67289,3318.8295739348373,4380.7819548872185,CD4+ T cells,#0072B2
67330,3275.309523809524,4053.2619047619046,regulatory T cells,#0072B2
67559,3837.803827751196,4103.062200956938,regulatory T cells,#0072B2
67689,3349.6994535519125,4391.849726775957,regulatory T cells,#0072B2
67809,3742.3888888888887,3843.494444444445,M2 macrophages,#66A61E
67926,3553.550675675676,4386.783783783784,CD4+ T cells,#0072B2
68017,3733.765193370166,4012.370165745856,endothelial cells,#666666
68175,3635.598265895954,4097.676300578035,regulatory T cells,#0072B2
68227,3164.014285714285,4293.728571428572,M2 macrophages,#66A61E
68237,3380.0729166666665,4326.135416666667,dendritic cells,#66A61E
68246,3265.036496350365,4153.693430656935,regulatory T cells,#0072B2
68251,3647.5106951871658,4195.820855614973,M2 macrophages,#66A61E
68297,3506.179775280899,4168.286516853933,regulatory T cells,#0072B2
68368,3233.9211618257264,4313.0622406639,M2 macrophages,#66A61E
68439,3569.9460580912864,4148.44398340249,dendritic cells,#66A61E
68513,3609.087431693989,4417.770491803279,M2 macrophages,#66A61E
68564,3874.23,3893.17,dendritic cells,#66A61E
68589,3655.217741935484,3875.060483870968,CD4+ T cells,#0072B2
68764,3566.252918287937,4025.2373540856033,regulatory T cells,#0072B2
68882,3601.410447761194,4408.119402985075,M2 macrophages,#66A61E
69006,3158.7340153452687,4076.035805626599,regulatory T cells,#0072B2
69040,3823.183333333333,4000.116666666667,M2 macrophages,#66A61E
69156,3488.2474226804125,4038.6494845360826,M2 macrophages,#66A61E
69187,3779.740157480315,3868.1338582677167,M2 macrophages,#66A61E
69245,3633.372093023256,4373.538205980067,regulatory T cells,#0072B2
69262,3780.8705035971225,4299.107913669065,M2 macrophages,#66A61E
69266,3866.5876288659792,4185.134020618557,regulatory T cells,#0072B2
69357,3598.015228426396,4280.725888324873,regulatory T cells,#0072B2
69410,3433.06432748538,4398.619883040936,regulatory T cells,#0072B2
69460,3722.131736526946,4402.646706586826,CD4+ T cells,#0072B2
69484,3585.4690265486724,4291.358407079646,regulatory T cells,#0072B2
69533,3625.074712643678,4217.137931034483,M2 macrophages,#66A61E
69536,3158.598130841121,4061.121495327103,regulatory T cells,#0072B2
69569,3634.122282608696,4019.646739130435,regulatory T cells,#0072B2
69659,3342.1301369863013,4227.619863013699,M2 macrophages,#66A61E
69700,3566.8375634517765,3977.543147208122,dendritic cells,#66A61E
69730,3641.51171875,4062.0546875,dendritic cells,#66A61E
69885,3709.644578313253,4146.358433734939,M2 macrophages,#66A61E
69918,3562.6925675675675,4192.1824324324325,regulatory T cells,#0072B2
69928,3407.26368159204,4075.323383084577,dendritic cells,#66A61E
69979,3351.965397923876,4000.2560553633216,B cells,#0072B2
70061,3510.965447154472,3969.778455284553,regulatory T cells,#0072B2
70086,3167.3668341708544,4093.412060301508,M2 macrophages,#66A61E
70160,3187.458762886598,4061.814432989691,regulatory T cells,#0072B2
70268,3753.25,4244.941666666667,M2 macrophages,#66A61E
70571,3385.625899280576,4097.751798561151,dendritic cells,#66A61E
70676,3170.405714285714,3899.52,regulatory T cells,#0072B2
70677,3786.917431192661,3981.064220183486,stromal cells,#666666
70762,3896.042654028436,4131.682464454976,CD4+ T cells,#0072B2
70804,3281.783625730994,3751.690058479532,regulatory T cells,#0072B2
71065,3434.928571428572,4457.785714285715,M2 macrophages,#66A61E
71222,3526.811475409836,3781.844262295082,endothelial cells,#666666
71293,3778.205128205128,4280.472527472528,M2 macrophages,#66A61E
71504,3391.6616541353383,4316.706766917293,dendritic cells,#66A61E
71536,3438.207236842105,3706.9605263157896,dendritic cells,#66A61E
71592,3845.56768558952,3937.489082969432,M2 macrophages,#66A61E
71766,3505.065693430657,4455.729927007299,M2 macrophages,#66A61E
71825,3256.165333333334,3983.0906666666665,regulatory T cells,#0072B2
71828,3818.108910891089,4213.940594059406,regulatory T cells,#0072B2
71914,3567.598360655738,3993.7377049180327,M2 macrophages,#66A61E
72018,3404.76076555024,3832.6746411483255,regulatory T cells,#0072B2
72023,3611.4541984732814,4039.0343511450383,regulatory T cells,#0072B2
72140,3683.1132075471696,4346.679245283019,M2 macrophages,#66A61E
72148,3576.0071942446043,4300.503597122302,regulatory T cells,#0072B2
72183,3789.5102040816328,4236.306122448979,regulatory T cells,#0072B2
72194,3306.185483870968,4324.467741935484,dendritic cells,#66A61E
72199,3155.434027777778,3855.211805555556,regulatory T cells,#0072B2
72289,3555.094527363184,4208.104477611941,regulatory T cells,#0072B2
72290,3500.5916473317866,3996.322505800464,regulatory T cells,#0072B2
72358,3766.454935622317,4366.74678111588,regulatory T cells,#0072B2
72396,3525.7727272727275,4053.44055944056,M2 macrophages,#66A61E
72464,3250.563829787234,3737.021276595745,M2 macrophages,#66A61E
72494,3416.116923076924,3854.723076923077,regulatory T cells,#0072B2
72521,3170.235294117647,4108.59243697479,regulatory T cells,#0072B2
72528,3580.1004366812226,4134.930131004367,regulatory T cells,#0072B2
72552,3885.653846153846,3889.346153846154,dendritic cells,#66A61E
72678,3914.706349206349,4195.293650793651,dendritic cells,#66A61E
72795,3572.688888888889,3898.288888888889,regulatory T cells,#0072B2
72911,3379.4169884169883,4119.868725868726,regulatory T cells,#0072B2
72998,3308.6470588235293,3942.164705882353,endothelial cells,#666666
73051,3260.4224422442244,3946.135313531353,dendritic cells,#66A61E
73189,3385.61673151751,3859.3463035019454,regulatory T cells,#0072B2
73221,3244.9703504043127,3817.487870619946,regulatory T cells,#0072B2
73271,3387.969151670952,3812.976863753213,regulatory T cells,#0072B2
73273,3685.0,3819.842857142857,CD4+ T cells,#0072B2
73281,3691.4502923976606,4222.046783625731,regulatory T cells,#0072B2
73299,3350.861940298508,4209.555970149254,M2 macrophages,#66A61E
73333,3546.41641337386,4028.884498480243,regulatory T cells,#0072B2
73406,3618.8901098901097,4099.126373626374,regulatory T cells,#0072B2
73424,3421.8858267716537,4263.476377952756,dendritic cells,#66A61E
73657,3326.7727272727275,3948.396103896104,regulatory T cells,#0072B2
73876,3266.4216216216214,4014.427027027027,dendritic cells,#66A61E
73917,3497.117117117117,4042.828828828829,M2 macrophages,#66A61E
74008,3149.149779735683,4019.180616740088,B cells,#0072B2
74072,3391.3274853801167,3956.7748538011697,regulatory T cells,#0072B2
74153,3582.5391304347827,4271.452173913043,regulatory T cells,#0072B2
74159,3473.685185185185,4022.597883597884,M2 macrophages,#66A61E
74177,3336.328671328671,4396.013986013986,regulatory T cells,#0072B2
74193,3886.626112759644,4217.050445103858,regulatory T cells,#0072B2
74319,3409.8413098236774,3956.015113350126,regulatory T cells,#0072B2
